Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE190_Integer_Overflow__int64_t_rand_preinc_01.bad,x86-64,angr,Success,1.17,114.30,106,221,3694
CWE190_Integer_Overflow__int64_t_rand_preinc_01.bad,x86-64,llvm,Success,.02,10.06,0,0,844
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_01.good,x86-64,ghidra,Success,7.08,651.21,75,14,49
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_01.good,x86-64,angr,Success,.97,114.83,105,212,3561
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_01.good,x86-64,llvm,Success,.02,9.96,0,0,796
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_snprintf_01.good,x86-64,ghidra,Success,7.09,635.20,78,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_snprintf_01.good,x86-64,angr,Success,1.09,114.57,112,206,3353
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_snprintf_01.good,x86-64,llvm,Success,.02,10.41,0,0,803
CWE190_Integer_Overflow__int_fgets_square_01.good,x86-64,ghidra,Success,6.96,618.30,79,16,57
CWE190_Integer_Overflow__int_fgets_square_01.good,x86-64,angr,Success,1.00,114.74,113,207,3205
CWE190_Integer_Overflow__int_fgets_square_01.good,x86-64,llvm,Success,.01,10.09,0,0,769
CWE121_Stack_Based_Buffer_Overflow__dest_wchar_t_declare_cpy_01.good,x86-64,ghidra,Success,7.28,559.78,78,16,57
CWE121_Stack_Based_Buffer_Overflow__dest_wchar_t_declare_cpy_01.good,x86-64,angr,Success,.96,114.64,112,196,3005
CWE121_Stack_Based_Buffer_Overflow__dest_wchar_t_declare_cpy_01.good,x86-64,llvm,Success,.02,10.30,0,0,736
CWE190_Integer_Overflow__int64_t_rand_add_01.bad,x86-64,ghidra,Success,6.99,577.61,76,14,49
CWE190_Integer_Overflow__int64_t_rand_add_01.bad,x86-64,angr,Success,1.14,114.42,106,221,3678
CWE190_Integer_Overflow__int64_t_rand_add_01.bad,x86-64,llvm,Success,.02,10.40,0,0,844
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memcpy_01.bad,x86-64,ghidra,Success,7.67,568.16,81,17,61
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memcpy_01.bad,x86-64,angr,Success,1.16,114.92,117,212,3445
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memcpy_01.bad,x86-64,llvm,Success,.02,10.18,0,0,843
CWE190_Integer_Overflow__unsigned_int_rand_preinc_01.good,x86-64,ghidra,Success,7.54,556.42,75,14,49
CWE190_Integer_Overflow__unsigned_int_rand_preinc_01.good,x86-64,angr,Success,1.07,114.13,105,198,3253
CWE190_Integer_Overflow__unsigned_int_rand_preinc_01.good,x86-64,llvm,Success,.02,9.96,0,0,752
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_loop_01.bad,x86-64,ghidra,Success,7.18,608.29,79,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_loop_01.bad,x86-64,angr,Success,1.17,114.46,113,221,3748
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_loop_01.bad,x86-64,llvm,Success,.01,9.97,0,0,882
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cat_01.bad,x86-64,ghidra,Success,7.58,563.97,79,16,57
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cat_01.bad,x86-64,angr,Success,1.12,114.82,113,225,3866
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cat_01.bad,x86-64,llvm,Success,.01,10.46,0,0,904
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_01.bad,x86-64,ghidra,Success,7.83,561.43,77,15,53
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_01.bad,x86-64,angr,Success,1.11,114.71,109,222,3865
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_01.bad,x86-64,llvm,Success,.01,10.25,0,0,895
CWE190_Integer_Overflow__int_max_multiply_01.good,x86-64,ghidra,Success,7.25,634.23,75,14,49
CWE190_Integer_Overflow__int_max_multiply_01.good,x86-64,angr,Success,1.08,114.33,105,190,3070
CWE190_Integer_Overflow__int_max_multiply_01.good,x86-64,llvm,Success,.02,9.93,0,0,732
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memmove_01.bad,x86-64,ghidra,Success,7.19,633.12,83,18,65
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memmove_01.bad,x86-64,angr,Success,1.06,114.77,121,225,3330
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memmove_01.bad,x86-64,llvm,Success,.02,10.33,0,0,806
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_loop_01.good,x86-64,ghidra,Success,7.25,641.70,78,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_loop_01.good,x86-64,angr,Success,1.07,114.49,112,204,3290
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_loop_01.good,x86-64,llvm,Success,.02,10.11,0,0,789
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_ncpy_01.good,x86-64,ghidra,Success,7.41,587.57,84,19,69
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_ncpy_01.good,x86-64,angr,Success,1.04,114.74,124,215,3112
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_ncpy_01.good,x86-64,llvm,Success,.02,10.05,0,0,770
CWE190_Integer_Overflow__unsigned_int_max_square_01.good,x86-64,ghidra,Success,7.38,703.80,75,14,49
CWE190_Integer_Overflow__unsigned_int_max_square_01.good,x86-64,angr,Success,1.01,114.31,105,190,3063
CWE190_Integer_Overflow__unsigned_int_max_square_01.good,x86-64,llvm,Success,.01,9.98,0,0,733
CWE190_Integer_Overflow__int_max_preinc_01.good,x86-64,ghidra,Success,7.20,559.77,75,14,49
CWE190_Integer_Overflow__int_max_preinc_01.good,x86-64,angr,Success,1.02,114.28,105,188,3031
CWE190_Integer_Overflow__int_max_preinc_01.good,x86-64,llvm,Success,.01,10.04,0,0,728
CWE190_Integer_Overflow__int_max_preinc_01.bad,x86-64,ghidra,Success,7.40,644.67,76,14,49
CWE190_Integer_Overflow__int_max_preinc_01.bad,x86-64,angr,Success,1.03,114.64,106,193,3139
CWE190_Integer_Overflow__int_max_preinc_01.bad,x86-64,llvm,Success,.02,10.25,0,0,751
CWE190_Integer_Overflow__short_rand_square_01.bad,x86-64,ghidra,Success,7.24,659.29,76,14,49
CWE190_Integer_Overflow__short_rand_square_01.bad,x86-64,angr,Success,1.07,114.64,106,213,3619
CWE190_Integer_Overflow__short_rand_square_01.bad,x86-64,llvm,Success,.01,10.27,0,0,798
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_01.good,x86-64,ghidra,Success,7.86,601.80,74,14,49
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_01.good,x86-64,angr,Success,1.16,113.75,104,189,3033
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_loop_01.good,x86-64,llvm,Success,.02,9.92,0,0,727
CWE190_Integer_Overflow__int64_t_rand_postinc_01.bad,x86-64,ghidra,Success,7.61,703.55,76,14,49
CWE190_Integer_Overflow__int64_t_rand_postinc_01.bad,x86-64,angr,Success,1.03,114.81,106,221,3694
CWE190_Integer_Overflow__int64_t_rand_postinc_01.bad,x86-64,llvm,Success,.01,10.00,0,0,844
CWE190_Integer_Overflow__int_fscanf_add_01.bad,x86-64,ghidra,Success,7.46,612.29,78,15,53
CWE190_Integer_Overflow__int_fscanf_add_01.bad,x86-64,angr,Success,1.01,114.57,110,204,3271
CWE190_Integer_Overflow__int_fscanf_add_01.bad,x86-64,llvm,Success,.01,10.34,0,0,785
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_ncpy_01.good,x86-64,ghidra,Success,7.37,637.35,86,20,73
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_ncpy_01.good,x86-64,angr,Success,1.06,114.60,128,221,3233
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_ncpy_01.good,x86-64,llvm,Success,.02,10.07,0,0,802
CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_01.good,x86-64,ghidra,Success,7.41,567.82,80,17,61
CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_01.good,x86-64,angr,Success,1.03,114.48,116,206,3124
CWE122_Heap_Based_Buffer_Overflow__CWE131_loop_01.good,x86-64,llvm,Success,.01,9.96,0,0,756
CWE416_Use_After_Free__malloc_free_long_01.bad,x86-64,ghidra,Success,7.25,654.51,82,17,61
CWE416_Use_After_Free__malloc_free_long_01.bad,x86-64,angr,Success,1.09,114.82,118,224,3388
CWE416_Use_After_Free__malloc_free_long_01.bad,x86-64,llvm,Success,.02,10.23,0,0,810
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_01.bad,x86-64,ghidra,Success,7.22,572.94,79,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_01.bad,x86-64,angr,Success,1.07,114.88,113,225,3894
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_01.bad,x86-64,llvm,Success,.01,10.12,0,0,912
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_01.good,x86-64,ghidra,Success,7.87,762.09,86,20,73
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_01.good,x86-64,angr,Success,1.17,114.86,128,221,3159
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_01.good,x86-64,llvm,Success,.01,10.11,0,0,785
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_01.good,x86-64,ghidra,Success,8.06,622.92,76,15,53
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_01.good,x86-64,angr,Success,1.11,114.73,108,202,3342
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memmove_01.good,x86-64,llvm,Success,.02,10.35,0,0,792
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_memcpy_01.bad,x86-64,ghidra,Success,7.70,703.10,79,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_memcpy_01.bad,x86-64,angr,Success,1.09,114.60,113,205,3206
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_declare_memcpy_01.bad,x86-64,llvm,Success,.01,10.00,0,0,784
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_01.good,x86-64,ghidra,Success,7.75,618.61,80,17,61
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_01.good,x86-64,angr,Success,1.05,114.67,116,201,2999
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_01.good,x86-64,llvm,Success,.02,10.15,0,0,736
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_01.good,x86-64,ghidra,Success,8.19,622.05,84,19,69
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_01.good,x86-64,angr,Success,1.02,114.85,124,215,3098
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_01.good,x86-64,llvm,Success,.01,10.08,0,0,765
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_snprintf_01.bad,x86-64,ghidra,Success,7.13,686.50,81,17,61
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_snprintf_01.bad,x86-64,angr,Success,1.07,114.53,117,222,3629
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_alloca_snprintf_01.bad,x86-64,llvm,Success,.02,9.96,0,0,873
CWE190_Integer_Overflow__int_fgets_add_01.good,x86-64,ghidra,Success,7.38,659.44,79,16,57
CWE190_Integer_Overflow__int_fgets_add_01.good,x86-64,angr,Success,.97,114.80,113,205,3163
CWE190_Integer_Overflow__int_fgets_add_01.good,x86-64,llvm,Success,.02,9.82,0,0,765
CWE121_Stack_Based_Buffer_Overflow__char_type_overrun_memcpy_01.good,x86-64,ghidra,Success,7.24,563.49,74,14,49
CWE121_Stack_Based_Buffer_Overflow__char_type_overrun_memcpy_01.good,x86-64,angr,Success,1.01,114.19,104,186,2974
CWE121_Stack_Based_Buffer_Overflow__char_type_overrun_memcpy_01.good,x86-64,llvm,Success,.01,10.41,0,0,720
CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_cpy_01.bad,x86-64,ghidra,Success,7.23,697.14,77,15,53
CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_cpy_01.bad,x86-64,angr,Success,1.01,114.59,109,218,3929
CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_cpy_01.bad,x86-64,llvm,Success,.01,9.97,0,0,905
CWE190_Integer_Overflow__int_fscanf_add_01.good,x86-64,ghidra,Success,7.31,704.90,77,15,53
CWE190_Integer_Overflow__int_fscanf_add_01.good,x86-64,angr,Success,.97,114.54,109,196,3105
CWE190_Integer_Overflow__int_fscanf_add_01.good,x86-64,llvm,Success,.01,9.89,0,0,749
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memcpy_01.bad,x86-64,ghidra,Success,7.19,635.03,79,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memcpy_01.bad,x86-64,angr,Success,1.02,114.87,113,225,3894
CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memcpy_01.bad,x86-64,llvm,Success,.01,10.10,0,0,912
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_01.good,x86-64,ghidra,Success,7.28,656.23,78,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_01.good,x86-64,angr,Success,.99,114.54,112,196,3019
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_01.good,x86-64,llvm,Success,.02,10.11,0,0,740
CWE190_Integer_Overflow__unsigned_int_max_square_01.bad,x86-64,ghidra,Success,7.23,631.64,76,14,49
CWE190_Integer_Overflow__unsigned_int_max_square_01.bad,x86-64,angr,Success,1.06,113.80,106,195,3171
CWE190_Integer_Overflow__unsigned_int_max_square_01.bad,x86-64,llvm,Success,.01,10.06,0,0,756
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cpy_01.good,x86-64,ghidra,Success,7.36,618.45,78,16,57
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cpy_01.good,x86-64,angr,Success,1.00,114.57,112,206,3349
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cpy_01.good,x86-64,llvm,Success,.01,9.82,0,0,800
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memmove_01.bad,x86-64,ghidra,Success,7.22,650.48,81,17,61
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memmove_01.bad,x86-64,angr,Success,1.09,114.20,117,212,3445
CWE121_Stack_Based_Buffer_Overflow__CWE806_wchar_t_declare_memmove_01.bad,x86-64,llvm,Success,.01,9.90,0,0,843
CWE190_Integer_Overflow__short_max_preinc_01.bad,x86-64,ghidra,Success,7.12,617.17,76,14,49
CWE190_Integer_Overflow__short_max_preinc_01.bad,x86-64,angr,Success,1.00,114.50,106,193,3178
CWE190_Integer_Overflow__short_max_preinc_01.bad,x86-64,llvm,Success,.01,9.83,0,0,757
CWE121_Stack_Based_Buffer_Overflow__CWE805_struct_declare_loop_01.good,x86-64,ghidra,Success,7.37,621.83,74,14,49
CWE121_Stack_Based_Buffer_Overflow__CWE805_struct_declare_loop_01.good,x86-64,angr,Success,.98,114.73,104,190,3063
CWE121_Stack_Based_Buffer_Overflow__CWE805_struct_declare_loop_01.good,x86-64,llvm,Success,.02,10.05,0,0,730
CWE190_Integer_Overflow__char_rand_multiply_01.bad,x86-64,ghidra,Success,7.19,711.98,76,14,49
CWE190_Integer_Overflow__char_rand_multiply_01.bad,x86-64,angr,Success,1.03,114.31,106,216,3397
CWE190_Integer_Overflow__char_rand_multiply_01.bad,x86-64,llvm,Success,.01,10.03,0,0,781
CWE416_Use_After_Free__malloc_free_long_01.good,x86-64,ghidra,Success,7.37,564.21,81,17,61
CWE416_Use_After_Free__malloc_free_long_01.good,x86-64,angr,Success,1.05,114.56,117,212,3188
CWE416_Use_After_Free__malloc_free_long_01.good,x86-64,llvm,Success,.02,9.72,0,0,770
CWE190_Integer_Overflow__int64_t_rand_add_01.good,x86-64,ghidra,Success,7.18,619.24,75,14,49
CWE190_Integer_Overflow__int64_t_rand_add_01.good,x86-64,angr,Success,1.02,114.08,105,202,3290
CWE190_Integer_Overflow__int64_t_rand_add_01.good,x86-64,llvm,Success,.02,10.16,0,0,775
CWE190_Integer_Overflow__unsigned_int_fscanf_add_01.good,x86-64,ghidra,Success,7.17,718.19,77,15,53
CWE190_Integer_Overflow__unsigned_int_fscanf_add_01.good,x86-64,angr,Success,1.00,114.36,109,196,3105
CWE190_Integer_Overflow__unsigned_int_fscanf_add_01.good,x86-64,llvm,Success,.02,9.98,0,0,749
CWE121_Stack_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_01.bad,x86-64,ghidra,Success,7.21,562.82,75,14,49
CWE121_Stack_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_01.bad,x86-64,angr,Success,1.07,114.40,105,195,3213
CWE121_Stack_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_01.bad,x86-64,llvm,Success,.01,10.32,0,0,785
CWE190_Integer_Overflow__int64_t_fscanf_add_01.bad,x86-64,ghidra,Success,7.24,618.29,78,15,53
